target_name_std,target_id,target_classification,gaia_dr2_id,d_gaia_dr2,d_err_gai_dr2,gaia_parallax,gaia_parallax_err,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,source_catalog,simbad_link,spectral_class,spectral_class_ref,temp_class,temp_class_ref,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,extinction_ebmv,extinction_ebmv_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,age,age_ref,rate_accretion,rate_accretion_ref,metallicity,metallicity_ref,multiplicity,multiplicity_ref,is_variable,is_monitor_targ,extended
CVSO 90,?,T Tauri star,3220661529910667904,352.45,6.61,2.84,0.053,82.83596,-0.82218,,Milky Way,Ori OB1b,,,K7,,,,,,,,,0.79,,,,,,13.64,,,,14.61,,,,0.00,,,,,,null,null,,derived,,,-7.75,,,,,,TRUE,FALSE,FALSE
CVSO 104,?,T Tauri star,3217634157789741952,374.26,9.42,2.67,0.067,83.02660,-1.18336,,Milky Way,Ori OB1b,,,K7,,,,,,,,,0.77,,,,,,14.14,,,,14.22,,,,0.00,,,,,,null,null,,derived,,,-8.12,,,,,,TRUE,FALSE,FALSE
CVSO 107,?,T Tauri star,3220694442244758784,338.89,4.60,2.95,0.040,83.10742,-0.61482,,Milky Way,Ori OB1b,,,K7,,,,,,,,,0.77,,,,,,14.40,,,,14.78,,,,0.10,,,,,,null,null,,derived,,,-7.96,,,,,,TRUE,FALSE,FALSE
CVSO 109,?,T Tauri star,3217630378215871232,125.89,10.61,7.94,0.670,83.13604,-1.22940,,Milky Way,Ori OB1b,,,M0,,,,,,,,,0.56,,,,,,13.62,,,,13.97,,,,0.00,,,,,,null,null,,derived,,,-7.60,,,,,,TRUE,FALSE,FALSE
CVSO 146,?,T Tauri star,3217657011309526016,338.56,3.15,2.95,0.028,83.94168,-0.96451,,Milky Way,Ori OB1b,,,K6,,,,,,,,,0.92,,,,,,13.70,,,,14.01,,,,0.03,,,,,,null,null,,derived,,,-8.06,,,,,,TRUE,FALSE,FALSE
CVSO 165,?,T Tauri star,3217473697810695424,335.54,25.61,2.98,0.228,84.76072,-1.34234,,Milky Way,Ori OB1b,,,K6,,,,,,,,,0.91,,,,,,14.13,,,,13.68,,,,0.00,,,,,,null,null,,derived,,,-8.43,,,,,,TRUE,FALSE,FALSE
CVSO 176,?,T Tauri star,3219230167633274752,299.91,5.63,3.33,0.063,85.10063,-0.52261,,Milky Way,Ori OB1b,,,M3,,,,,,,,,0.35,,,,,,15.30,,,,15.65,,,,0.00,,,,,,null,null,,derived,,,-8.37,,,,,,TRUE,FALSE,FALSE
V505 Ori,?,T Tauri star,3216107490187638784,397.39,6.10,2.52,0.039,84.61357,-2.75270,,Milky Way,sigma Ori,,,K6.0,,,,,,,,,0.754,,,,,,14.10,,,,14.16,,,,0.00,,,,,,null,null,,derived,,,-8.54,,,,,,TRUE,FALSE,FALSE
TX Ori,?,T Tauri star,3216108997720732544,571.89,84.74,1.75,0.259,84.64038,-2.73726,,Milky Way,sigma Ori,,,K4.5,,,,,,,,,1.087,,,,,,13.75,,,,12.06,,,,0.00,,,,,,null,null,,derived,,,-8.13,,,,,,TRUE,FALSE,FALSE
V510 Ori,?,T Tauri star,3216493758070824064,394.81,5.50,2.53,0.035,84.91594,-2.52274,,Milky Way,sigma Ori,,,K5.5,,,,,,,,,0.875,,,,,,14.59,,,,14.30,,,,0.05,,,,,,null,null,,derived,,,-8.38,,,,,,TRUE,FALSE,FALSE
TWA 8A,?,T Tauri star,3485098646237003392,46.27,0.18,21.61,0.086,173.17194,-26.86554,,Milky Way,TWA,,,M3,,,,,,,,,0.29,,,,,,13.03,,,,12.23,,,,0.06,,,,,,null,null,,derived,,,-9.79,,,,,,TRUE,FALSE,FALSE
RU Lup,?,T Tauri star,6010114558131195392,159.57,1.71,6.27,0.067,239.1763,-37.82096,,Milky Way,Lupus II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,,derived,,,,,,,,,TRUE,TRUE,FALSE
BP Tau,?,T Tauri star,164832740220756608,129.08,0.96,7.75,0.058,64.81598,29.10748,,Milky Way,Taurus-Auriga,?,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V%2A%20BP%20Tau,K7,2008MNRAS.386.1234D,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,,derived,,,,,,,,,TRUE,TRUE,FALSE
GM Aur,?,T Tauri star,156907907082740480,159.64,2.11,6.26,0.083,73.79576,30.36649,,Milky Way,Taurus-Auriga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,,derived,,,,,,,,,TRUE,TRUE,FALSE
TW Hya,?,T Tauri star,5401795662560500352,60.09,0.15,16.64,0.042,165.46627,-34.70473,,Milky Way,TWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,,derived,,,,,,,,,TRUE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
